Product_ID,Product_Name,Category,Specification,Quantity,Purchase_Price_ETB,Location,Count_Date,Needs_Review,Total_Stock_Value_ETB
P0001,Abc Panel,Panel Light,12W,35,400,Warehouse,2026-06-19,False,14000
P0002,Bright Panel,Panel Light,36W,12,600,Warehouse,2026-06-19,False,7200
P0003,Diamond Burried,Panel Light,15W,25,500,Warehouse,2026-06-19,False,12500
P0004,Glory Normal Panel,Panel Light,18W,0,450,Warehouse,2026-06-19,False,0
P0005,Glory Normal Panel,Panel Light,24W,40,550,Warehouse,2026-06-19,False,22000
P0006,Luxury Panel,Panel Light,24W,7,500,Warehouse,2026-06-19,False,3500
P0007,Luxury Panel,Panel Light,36W,0,600,Warehouse,2026-06-19,False,0
P0008,Nero Panel 3 Color,Panel Light,18W,34,800,Warehouse,2026-06-19,False,27200
P0009,Nero Panel Warm,Panel Light,24W,25,850,Warehouse,2026-06-19,False,21250
P0010,Oscar,Panel Light,24W,28,480,Warehouse,2026-06-19,False,13440
P0011,Panel 3 Color,Panel Light,18W,0,440,Warehouse,2026-06-19,False,0
P0012,Panel 3 Color,Panel Light,24W,0,540,Warehouse,2026-06-19,False,0
P0013,Piama Burried,Panel Light,20W,34,600,Warehouse,2026-06-19,False,20400
P0014,Tesla,Panel Light,48W,21,800,Warehouse,2026-06-19,False,16800
P0015,Tesla Normal Panel,Panel Light,24W,7,550,Warehouse,2026-06-19,False,3850
P0016,Tesla Oval,Panel Light,18W,11,400,Warehouse,2026-06-19,False,4400
P0017,Tesla Panel Bk,Panel Light,18W,24,550,Warehouse,2026-06-19,False,13200
P0018,Tesla Panel,Panel Light,36W,18,600,Warehouse,2026-06-19,False,10800
P0019,Tesla Panel Bk,Panel Light,24W,13,850,Warehouse,2026-06-19,False,11050
P0020,Wetco Warm,Panel Light,30W,0,700,Warehouse,2026-06-19,False,0
P0021,Abc/Extreme Lamp,Lamp,10W,69,110,Warehouse,2026-06-19,False,7590
P0022,Awzm Spot Bk,Spot Light,5W,22,180,Warehouse,2026-06-19,False,3960
P0023,Bib Lamp,Lamp,9W,0,150,Warehouse,2026-06-19,False,0
P0024,Candle Lamp,Lamp,5W,50,130,Warehouse,2026-06-19,False,6500
P0025,Cristal Spot,Spot Light,7W,13,420,Warehouse,2026-06-19,False,5460
P0026,Culle Lamp,Lamp,40W,20,320,Warehouse,2026-06-19,False,6400
P0027,Dama Flexible Spot,Spot Light,7W,18,280,Warehouse,2026-06-19,False,5040
P0028,Dyna Spot Warm,Spot Light,7W,72,280,Warehouse,2026-06-19,False,20160
P0029,Edison 20 Watt,Lamp,20W,58,170,Warehouse,2026-06-19,False,9860
P0030,Edison 30 Watt,Lamp,30W,71,270,Warehouse,2026-06-19,False,19170
P0031,Edison 60 Watt,Lamp,60W,62,510,Warehouse,2026-06-19,False,31620
P0032,Edison Lamp,Lamp,5W,71,80,Warehouse,2026-06-19,False,5680
P0033,Edison Lamp,Lamp,5W,62,130,Warehouse,2026-06-19,False,8060
P0034,Efficient Lamp,Lamp,6W,69,290,Warehouse,2026-06-19,False,20010
P0035,Esmiz Spot Bk,Spot Light,7W,50,230,Warehouse,2026-06-19,False,11500
P0036,Esmiz Spot Warm,Spot Light,7W,54,220,Warehouse,2026-06-19,False,11880
P0037,Glass Spot Wood,Spot Light,5W,23,180,Warehouse,2026-06-19,False,4140
P0038,Grand Spot Silver Wh,Spot Light,7W,22,220,Warehouse,2026-06-19,False,4840
P0039,Itel Led Lamp,Lamp,5W,0,80,Warehouse,2026-06-19,False,0
P0040,Kk Spot Bk,Spot Light,7W,17,230,Warehouse,2026-06-19,False,3910
P0041,Led Lamp,Lamp,5W,42,80,Warehouse,2026-06-19,False,3360
P0042,Led Lamp Warm Glass,Lamp,6W,50,290,Warehouse,2026-06-19,False,14500
P0043,Led Star Spot Bk,Spot Light,7W,21,220,Warehouse,2026-06-19,False,4620
P0044,Ledme Warm,Lamp,9W,57,100,Warehouse,2026-06-19,False,5700
P0045,Luxury 20 Watt,Lamp,20W,76,150,Warehouse,2026-06-19,False,11400
P0046,Luxury Spot,Spot Light,5W,58,220,Warehouse,2026-06-19,False,12760
P0047,Merwan Lamp,Lamp,4W,44,100,Warehouse,2026-06-19,False,4400
P0048,Mr Flexible Spot,Spot Light,5W,61,280,Warehouse,2026-06-19,False,17080
P0049,Ms Spot Bk,Spot Light,5W,15,220,Warehouse,2026-06-19,False,3300
P0050,Nero Lamp Big,Lamp,7W,23,600,Warehouse,2026-06-19,False,13800
P0051,Nero Spot,Spot Light,7W,23,220,Warehouse,2026-06-19,False,5060
P0052,Pronews Spot,Spot Light,7W,56,220,Warehouse,2026-06-19,False,12320
P0053,Qotabi Light,Lamp,9W,60,100,Warehouse,2026-06-19,False,6000
P0054,Robel,Lamp,12W,0,180,Warehouse,2026-06-19,False,0
P0055,Robel,Lamp,7W,61,110,Warehouse,2026-06-19,False,6710
P0056,Robel,Lamp,9W,13,120,Warehouse,2026-06-19,False,1560
P0057,Samra,Lamp,5W,37,120,Warehouse,2026-06-19,False,4440
P0058,Show Spot Small,Spot Light,5W,24,200,Warehouse,2026-06-19,False,4800
P0059,Sonic Spot Bk,Spot Light,7W,50,240,Warehouse,2026-06-19,False,12000
P0060,Spark Spot Silver,Spot Light,7W,73,220,Warehouse,2026-06-19,False,16060
P0061,Steiline,Lamp,9W,37,120,Warehouse,2026-06-19,False,4440
P0062,Tesla 15 Watt,Lamp,15W,54,95,Warehouse,2026-06-19,False,5130
P0063,Tesla Spot Bk,Spot Light,7W,15,230,Warehouse,2026-06-19,False,3450
P0064,Tesla Spot Iron,Spot Light,7W,53,230,Warehouse,2026-06-19,False,12190
P0065,Tesla Spot White,Spot Light,5W,71,230,Warehouse,2026-06-19,False,16330
P0066,Tesisoy 36 Watt,Lamp,36W,71,280,Warehouse,2026-06-19,False,19880
P0067,Tesisoy 60 Watt,Lamp,60W,41,510,Warehouse,2026-06-19,False,20910
P0068,Til Boroui Spot Silver,Spot Light,7W,17,220,Warehouse,2026-06-19,False,3740
P0069,Top Spot Wh,Spot Light,7W,0,220,Warehouse,2026-06-19,False,0
P0070,Twin 30 Watt,Lamp,30W,18,230,Warehouse,2026-06-19,False,4140
P0071,Usipu Warm,Lamp,9W,60,120,Warehouse,2026-06-19,False,7200
